         4267112 function calls (4191631 primitive calls) in 99.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      890    0.049    0.000    0.096    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:71(_reset)
    14967    0.047    0.000    0.059    0.000 <frozen importlib._bootstrap>:405(parent)
     2239    0.046    0.000    0.133    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:456(status_message)
     1780    0.044    0.000    0.056    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/reduction.py:38(__init__)
     7239    0.042    0.000    5.376    0.001 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:308(process_message)
     5381    0.038    0.000    0.050    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:1185(is_alive)
    14656    0.037    0.000   53.930    0.004 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:373(_recv)
     2417    0.036    0.000   81.177    0.034 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection.py:36(iter_collect)
        9    0.035    0.004    0.035    0.004 {method 'encode' of 'ImagingEncoder' objects}
245797/245791    0.034    0.000    0.048    0.000 {built-in method builtins.isinstance}
     1958    0.033    0.000    0.555    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:65(Lock)
    13213    0.032    0.000    0.048    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_data/_anon_task_stats.py:36(__post_init__)
     5375    0.030    0.000    0.113    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/artist.py:1188(_update_props)
     7328    0.030    0.000   54.125    0.007 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:363(get)
     1774    0.030    0.000    0.187    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
     2848    0.030    0.000    0.241    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:119(_make_name)
    13538    0.028    0.000    0.028    0.000 {built-in method __new__ of type object at 0x102fd0cd8}
      890    0.028    0.000    0.197    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/spawn.py:160(get_preparation_data)
     7442    0.027    0.000    0.027    0.000 {method 'release' of '_thread.lock' objects}
     4726    0.027    0.000    0.176    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:161(_send)
     3738    0.027    0.000    0.095    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/util.py:171(register_after_fork)
    14275    0.026    0.000    0.026    0.000 {method '__exit__' of '_thread.lock' objects}
     7328    0.026    0.000   53.964    0.007 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:412(_recv_bytes)
     3738    0.026    0.000    0.067    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/weakref.py:164(__setitem__)
9733/5020    0.026    0.000    0.053    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:2431(get_affine)
      971    0.026    0.000    0.026    0.000 {built-in method matplotlib.ft2font.set_text}
      890    0.025    0.000    0.028    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:300(_args_from_interpreter_flags)
    26444    0.025    0.000    0.025    0.000 {built-in method stim._stim_polyfill.targets_copy}
     4270    0.025    0.000    0.227    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:435(_distribute_unassigned_work_to_workers_within_a_job)
34666/278    0.025    0.000    0.051    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:128(deepcopy)
     2580    0.024    0.000    0.025    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:273(_release_save)
     1780    0.024    0.000    0.379    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/reduction.py:58(dump)
     5089    0.024    0.000    2.995    0.001 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:86(put)
       89    0.024    0.000   51.426    0.578 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:187(_compute_task_ids)
    28704    0.024    0.000    0.219    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:226(point_at_t)
    96289    0.023    0.000    0.031    0.000 {built-in method builtins.getattr}
     4270    0.023    0.000    0.086    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:542(_take_work_if_unsatisfied_workers_within_a_job)
    11146    0.023    0.000    0.036    0.000 {built-in method builtins.sorted}
      890    0.022    0.000    0.022    0.000 {built-in method _thread.start_new_thread}
      890    0.022    0.000    0.022    0.000 {method '__exit__' of '_io._IOBase' objects}
     6239    0.022    0.000    0.022    0.000 {built-in method _thread.allocate_lock}
       89    0.021    0.000   16.826    0.189 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/shuffle_all_cxs/circuit_from_cx_list.py:10(memory_experiment_circuit_from_cx_list)
    12707    0.021    0.000    0.032    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/font_manager.py:700(__hash__)
     1106    0.020    0.000    0.456    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/text.py:738(draw)
     4389    0.020    0.000    0.027    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_data/_task_stats.py:73(__post_init__)
      890    0.020    0.000    0.031    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/process.py:80(__init__)
     4359    0.019    0.000    0.500    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:400(_distribute_unassigned_workers_to_jobs)
     7328    0.019    0.000   53.989    0.007 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:207(recv_bytes)
    14142    0.019    0.000    0.035    0.000 {method 'join' of 'str' objects}
      890    0.018    0.000   21.530    0.024 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:285(_Popen)
32172/27864    0.018    0.000    0.304    0.000 {built-in method builtins.next}
     2937    0.017    0.000    0.024    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/random.py:493(<listcomp>)
     7328    0.017    0.000    0.017    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
    15452    0.017    0.000    0.050    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/collections/__init__.py:587(__init__)
    55125    0.017    0.000    0.017    0.000 {built-in method numpy.asarray}
    48987    0.017    0.000    0.036    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/__init__.py:778(__getitem__)
    32544    0.017    0.000    0.017    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:423(_f)
169690/167697    0.016    0.000    0.017    0.000 {built-in method builtins.len}
